fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-articulation-scan,incorrect-tie,sustain,1,1,1,F4,F4,3,3,1,1,0,0,0,sustain-tie,sustain_association,event-match
piano-articulation-scan,duration-mismatch,rhythm,1,2,2,C2,C2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,1,2,2,G2,G2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,1,2,2,F2,F2,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,1,2,2,C3,C3,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,D2,D2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,A2,A2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,G2,G2,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,D3,D3,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,missing-tie,sustain,3,1,1,A4,A4,3,3,1,1,0,0,0,sustain-tie,sustain_association,event-match
piano-articulation-scan,duration-mismatch,rhythm,3,2,2,E2,E2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,3,2,2,B2,B2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,3,2,2,A2,A2,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,3,2,2,E3,E3,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,missing-tie,sustain,4,1,1,A#4,A#4,3,3,1,1,0,0,0,sustain-tie,sustain_association,event-match
piano-articulation-scan,duration-mismatch,rhythm,4,2,2,F2,F2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,4,2,2,C3,C3,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,4,2,2,A#2,A#2,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,4,2,2,F3,F3,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,5,2,2,G2,G2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,5,2,2,D3,D3,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,5,2,2,C3,C3,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
